score
1.9
4.0
2.1
1.1
2.1
1.1
2.2
2.8
2.5
2.3
1.7
3.1
3.7
3.3
3.4
1.6
2.3
1.0
2.0
2.6
3.6
4.2
3.7
2.2
5.0
1.9
1.6
1.0
2.3
2.0
1.0
2.3
2.2
1.4
3.1
3.2
2.6
1.4
3.6
4.0
5.0
2.8
2.5
2.2
1.1
2.1
1.9
